16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=57733603)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=57733603); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=57733603)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=57733603); target element is 'Image' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=57733603)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=57733603); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=45600217)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=45600217); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=45600217)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=45600217); target element is 'Image' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:643	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=45600217)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=45600217); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:913	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=46215595)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=46215595); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:913	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=46215595)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=46215595); target element is 'Image' (Name=''); target property is 'Visibility' (type 'Visibility')
16:29:46:913	System.Windows.Data Error: 40 : BindingExpression path error: 'IsPD' property not found on 'object' ''CApLPFile' (HashCode=46215595)'. BindingExpression:Path=IsPD; DataItem='CApLPFile' (HashCode=46215595); target element is 'TextBlock' (Name=''); target property is 'Visibility' (type 'Visibility')
16:33:08:487	
16:33:08:487	
16:33:08:487	PathSolver Start
16:33:08:487	Cables blanked
16:33:08:986	Device positions stored
16:33:08:986	Get Acceptable Clearances
16:34:27:799	0 clearances found
16:34:28:059	Max speeds set
16:34:59:335	Opened duplicate for 240R1_OLP_SPOTWELD1ST250, 6 items
16:34:59:335	via104 to via106
16:34:59:335	Running to via via104 before envelope duplication
16:35:17:880	Considering adjustments from via104 to via105
16:35:17:880	Collisions ignored on via104,via105,via106
16:36:30:117	
16:36:30:117	Applied via105: Speed100, CNT90, 
